


hit index// stereo angles (*itH)->dxDy()//weight (*itH)->w()//(*itH)->z()-m_geoTool->rReference // track.delta(*iH) // track.distance(*itH)
 For a new Track : 
 For a new Track : 
 1 0 51.0204 702.6 0 3.72582
 2 0 51.0204 202.4 0 -0.179977
 3 0 82.6446 17.5996 0 -0.993515
 4 0 82.6446 -479.6 0 -2.17758
 5 0 82.6446 -664.4 0 -2.47113
 6 -0.0874939 82.6446 -541.2 19.2229 -1.68188
 7 0.0874939 51.0204 -602.8 -30.0455 -2.6288
 8 -0.0874901 51.0204 825.8 -56.7772 4.96744
 9 0.0874939 82.6446 79.2002 -7.04517 -0.616409
 10 -0.0874939 51.0204 140.8 6.09627 -0.533386
 11 0.0874939 156.25 -602.8 -22.875 -2.00142
 For a new Track : 
 1 0 51.0204 702.6 0 0.0383301
 2 0 51.0204 202.4 0 -0.120483
 3 0 82.6446 17.5996 0 -0.0233154
 4 0 82.6446 -479.6 0 -0.0260315
 5 0 82.6446 -664.4 0 -0.352127
 6 -0.0874939 82.6446 -541.2 3.57586 -0.312866
 7 0.0874939 51.0204 -602.8 2.75619 0.24115
 8 -0.0874901 51.0204 825.8 30.7524 -2.69053
 9 0.0874939 82.6446 79.2002 20.2114 1.76837
 10 -0.0874939 51.0204 140.8 21.9416 -1.91975
 11 0.0874939 156.25 -602.8 9.92675 0.86853
 For a new Track : 
 1 0 51.0204 702.6 0 0.0437469
 2 0 51.0204 202.4 0 -0.121353
 3 0 82.6446 17.5996 0 0.00183105
 4 0 82.6446 -479.6 0 0.144989
 5 0 82.6446 -664.4 0 -0.0986633
 6 -0.0874939 82.6446 -541.2 1.32665 -0.116074
 7 0.0874939 51.0204 -602.8 5.31967 0.465439
 8 -0.0874901 51.0204 825.8 30.4762 -2.66636
 9 0.0874939 82.6446 79.2002 20.3802 1.78314
 10 -0.0874939 51.0204 140.8 21.8718 -1.91365
 11 0.0874939 156.25 -602.8 12.4902 1.09282
 For a new Track : 
 1 0 51.0204 702.6 0 1.29411
 2 0 51.0204 202.4 0 -0.171875
 3 0 82.6446 17.5996 0 -0.321716
 4 0 82.6446 -479.6 0 -0.356903
 5 0 82.6446 -664.4 0 -0.460114
 6 -0.0874939 82.6446 -541.2 -2.47733 0.216751
 7 0.0874939 51.0204 -602.8 -7.62661 -0.667282
 8 -0.0874901 51.0204 825.8 -20.4666 1.79063
 9 0.0874939 82.6446 79.2002 -1.73491 -0.151794
 10 -0.0874939 51.0204 140.8 3.31025 -0.289627
 11 0.0874939 156.25 -602.8 -0.456052 -0.0399017
 For a new Track : 
 1 0 51.0204 702.6 0 0.0273972
 2 0 51.0204 202.4 0 -0.128174
 3 0 82.6446 17.5996 0 -0.0299988
 4 0 82.6446 -479.6 0 -0.0299377
 5 0 82.6446 -664.4 0 -0.355103
 6 -0.0874939 82.6446 -541.2 -4.38769 0.383896
 7 0.0874939 51.0204 -602.8 -4.76683 -0.417068
 8 -0.0874901 51.0204 825.8 11.3781 -0.995472
 9 0.0874939 82.6446 79.2002 6.90548 0.604187
 10 -0.0874939 51.0204 140.8 8.28287 -0.724701
 11 0.0874939 156.25 -602.8 2.40373 0.210312
 For a new Track : 
 1 0 51.0204 702.6 0 0.0437469
 2 0 51.0204 202.4 0 -0.121307
 3 0 82.6446 17.5996 0 0.00180054
 4 0 82.6446 -479.6 0 0.14502
 5 0 82.6446 -664.4 0 -0.0986481
 6 -0.0874939 82.6446 -541.2 -6.67824 0.584305
 7 0.0874939 51.0204 -602.8 -2.16568 -0.189484
 8 -0.0874901 51.0204 825.8 10.9676 -0.959553
 9 0.0874939 82.6446 79.2002 7.15434 0.625961
 10 -0.0874939 51.0204 140.8 8.12888 -0.711227
 11 0.0874939 156.25 -602.8 5.00488 0.437897
 For a new Track : 
 1 0 51.0204 702.6 0 0.509125
 2 0 51.0204 202.4 0 -0.150345
 3 0 82.6446 17.5996 0 -0.138138
 4 0 82.6446 -479.6 0 -0.10144
 5 0 82.6446 -664.4 0 -0.313232
 6 -0.0874939 82.6446 -541.2 -5.0797 0.444443
 7 0.0874939 51.0204 -602.8 -5.44402 -0.476318
 8 -0.0874901 51.0204 825.8 -8.28402 0.72477
 9 0.0874939 82.6446 79.2002 -0.16376 -0.014328
 10 -0.0874939 51.0204 140.8 2.35071 -0.205673
 11 0.0874939 156.25 -602.8 1.72654 0.151062
 For a new Track : 
 1 0 51.0204 702.6 0 0.0231476
 2 0 51.0204 202.4 0 -0.130508
 3 0 82.6446 17.5996 0 -0.0316315
 4 0 82.6446 -479.6 0 -0.0300293
 5 0 82.6446 -664.4 0 -0.354614
 6 0.0874939 51.0204 -602.8 -4.78671 -0.418808
 7 -0.0874901 51.0204 825.8 3.70124 -0.323822
 8 0.0874939 82.6446 79.2002 3.18085 0.278305
 9 -0.0874939 51.0204 140.8 4.27276 -0.37384
 10 0.0874939 156.25 -602.8 2.38385 0.208572
 For a new Track : 
 1 0 51.0204 702.6 0 0.0437469
 2 0 51.0204 202.4 0 -0.121323
 3 0 82.6446 17.5996 0 0.0018158
 4 0 82.6446 -479.6 0 0.144989
 5 0 82.6446 -664.4 0 -0.0986328
 6 0.0874939 51.0204 -602.8 -2.18887 -0.191513
 7 -0.0874901 51.0204 825.8 3.23619 -0.283134
 8 0.0874939 82.6446 79.2002 3.45134 0.301971
 9 -0.0874939 51.0204 140.8 4.09487 -0.358276
 10 0.0874939 156.25 -602.8 4.98169 0.435867
 For a new Track : 
 1 0 51.0204 702.6 0 0.184921
 2 0 51.0204 202.4 0 -0.126099
 3 0 82.6446 17.5996 0 -0.0476837
 4 0 82.6446 -479.6 0 -0.000152588
 5 0 82.6446 -664.4 0 -0.270172
 6 0.0874939 51.0204 -602.8 -7.35072 -0.643143
 7 -0.0874901 51.0204 825.8 -2.43636 0.213158
 8 0.0874939 82.6446 79.2002 -0.383328 -0.0335388
 9 -0.0874939 51.0204 140.8 0.877921 -0.0768127
 10 0.0874939 156.25 -602.8 -0.180153 -0.0157623
 For a new Track : 
 1 0 51.0204 702.6 0 0.0437927
 2 0 51.0204 202.4 0 -0.121399
 3 0 82.6446 17.5996 0 0.00175476
 4 0 82.6446 -479.6 0 0.144882
 5 0 82.6446 -664.4 0 -0.0987701
 6 0.0874939 51.0204 -602.8 75.3668 6.59413
 7 -0.0874901 51.0204 825.8 92.023 -8.0511
 8 0.0874939 82.6446 79.2002 86.3671 7.55659
 9 -0.0874939 51.0204 140.8 87.4948 -7.65526
 10 0.0874939 156.25 -602.8 82.5373 7.22151
 11 0.0874863 51.0204 764.2 107.153 9.37444
 
