


hit index// stereo angles (*itH)->dxDy()//weight (*itH)->w()//(*itH)->z()-m_geoTool->rReference // track.delta(*iH) // track.distance(*itH)
 For a new Track : 
 6 0 82.6446 887.4 0 -0.0223083
 7 0.0874939 51.0204 -602.8 22.2832 1.94965
 8 -0.0874939 82.6446 -541.2 26.4998 -2.31857
 9 0.0874939 156.25 -602.8 29.4538 2.57703
 10 0.0874939 51.0204 79.2002 11.3216 0.99057
 11 -0.0874939 51.0204 140.8 10.3732 -0.907593
 12 0.0874939 82.6446 764.2 -4.56714 -0.399597
 13 -0.0874939 51.0204 825.8 -5.42483 0.47464
 For a new Track : 
 1 0 82.6446 -664.4 0 0.0634918
 2 0 51.0204 -479.6 0 -0.121582
 3 0 82.6446 17.5996 0 -0.0804749
 4 0 82.6446 202.4 0 0.10083
 5 0 51.0204 702.6 0 0.0437012
 6 0 82.6446 887.4 0 -0.0358276
 7 0.0874939 51.0204 -602.8 22.2 1.94237
 8 -0.0874939 82.6446 -541.2 26.5907 -2.32652
 9 0.0874939 156.25 -602.8 29.3706 2.56975
 10 0.0874939 51.0204 79.2002 11.1761 0.977844
 11 -0.0874939 51.0204 140.8 10.5218 -0.920593
 12 0.0874939 82.6446 764.2 -4.72445 -0.413361
 13 -0.0874939 51.0204 825.8 -5.26892 0.460999
 For a new Track : 
 1 0 82.6446 -664.4 0 -0.892258
 2 0 51.0204 -479.6 0 -0.694916
 3 0 82.6446 17.5996 0 0.00213623
 4 0 82.6446 202.4 0 0.288513
 5 0 51.0204 702.6 0 0.139221
 6 0 82.6446 887.4 0 -0.113647
 7 0.0874939 51.0204 -602.8 -14.877 -1.30165
 8 -0.0874939 82.6446 -541.2 8.24416 -0.721313
 9 0.0874939 156.25 -602.8 -7.70649 -0.674271
 10 0.0874939 51.0204 79.2002 0.916986 0.0802307
 11 -0.0874939 51.0204 140.8 -1.57168 0.137512
 12 0.0874939 82.6446 764.2 0.181374 0.0158691
 13 -0.0874939 51.0204 825.8 0.688873 -0.0602722
 For a new Track : 
 1 0 82.6446 -664.4 0 0.0722046
 2 0 51.0204 -479.6 0 -0.111191
 3 0 82.6446 17.5996 0 -0.0663147
 4 0 82.6446 202.4 0 0.115997
 5 0 51.0204 702.6 0 0.0610352
 6 0 82.6446 887.4 0 -0.0180969
 7 0.0874939 51.0204 -602.8 -0.969131 -0.0847931
 8 -0.0874939 82.6446 -541.2 4.40007 -0.384979
 9 0.0874939 156.25 -602.8 6.20143 0.542587
 10 0.0874939 51.0204 79.2002 1.32578 0.115997
 11 -0.0874939 51.0204 140.8 1.53296 -0.134125
 12 0.0874939 82.6446 764.2 -1.22393 -0.107086
 13 -0.0874939 51.0204 825.8 -0.97105 0.0849609
 For a new Track : 
 1 0 82.6446 -664.4 0 0.0635071
 2 0 51.0204 -479.6 0 -0.121582
 3 0 82.6446 17.5996 0 -0.0804138
 4 0 82.6446 202.4 0 0.1008
 5 0 51.0204 702.6 0 0.0437622
 6 0 82.6446 887.4 0 -0.0358276
 7 0.0874939 51.0204 -602.8 -1.07517 -0.0940704
 8 -0.0874939 82.6446 -541.2 4.51256 -0.394821
 9 0.0874939 156.25 -602.8 6.0954 0.53331
 10 0.0874939 51.0204 79.2002 1.16045 0.101532
 11 -0.0874939 51.0204 140.8 1.70248 -0.148956
 12 0.0874939 82.6446 764.2 -1.42309 -0.124512
 13 -0.0874939 51.0204 825.8 -0.770143 0.0673828
 For a new Track : 
 1 0 82.6446 -664.4 0 -0.0826111
 2 0 51.0204 -479.6 0 -0.204651
 3 0 82.6446 17.5996 0 -0.0543518
 4 0 82.6446 202.4 0 0.144928
 5 0 51.0204 702.6 0 0.0757141
 6 0 82.6446 887.4 0 -0.0308838
 7 0.0874939 51.0204 -602.8 -6.9135 -0.604889
 8 -0.0874939 82.6446 -541.2 1.51116 -0.132217
 9 0.0874939 156.25 -602.8 0.257063 0.0224915
 10 0.0874939 51.0204 79.2002 -0.128706 -0.011261
 11 -0.0874939 51.0204 140.8 -0.17091 0.0149536
 12 0.0874939 82.6446 764.2 -0.0505755 -0.00442505
 13 -0.0874939 51.0204 825.8 0.397279 -0.0347595
 For a new Track : 
 1 0 82.6446 -664.4 0 0.0720673
 2 0 51.0204 -479.6 0 -0.111252
 3 0 82.6446 17.5996 0 -0.0662537
 4 0 82.6446 202.4 0 0.116119
 5 0 51.0204 702.6 0 0.0611572
 6 0 82.6446 887.4 0 -0.0179443
 7 -0.0874939 82.6446 -541.2 0.861877 -0.0754089
 8 0.0874939 156.25 -602.8 2.45152 0.214493
 9 0.0874939 51.0204 79.2002 -0.103593 -0.00906372
 10 -0.0874939 51.0204 140.8 0.311824 -0.0272827
 11 0.0874939 82.6446 764.2 -0.323683 -0.0283203
 12 -0.0874939 51.0204 825.8 0.135333 -0.0118408
 For a new Track : 
 1 0 82.6446 -664.4 0 0.0635071
 2 0 51.0204 -479.6 0 -0.121567
 3 0 82.6446 17.5996 0 -0.0804138
 4 0 82.6446 202.4 0 0.10083
 5 0 51.0204 702.6 0 0.0437622
 6 0 82.6446 887.4 0 -0.0357971
 7 -0.0874939 82.6446 -541.2 0.973317 -0.0851593
 8 0.0874939 156.25 -602.8 2.3467 0.205322
 9 0.0874939 51.0204 79.2002 -0.269969 -0.0236206
 10 -0.0874939 51.0204 140.8 0.482735 -0.0422363
 11 0.0874939 82.6446 764.2 -0.524241 -0.0458679
 12 -0.0874939 51.0204 825.8 0.337635 -0.029541
 For a new Track : 
 1 0 51.0204 887.4 0 0.0564728
 2 0 51.0204 702.6 0 -0.0919189
 3 0 51.0204 202.4 0 0.0610809
 4 0 82.6446 17.5996 0 -0.013504
